sr no,Content,target
114,juss came backk from Berkeleyy ; omg its madd fun out there havent been out there in a minute . whassqoodd ?,human
115,Went to sleep and there is a power cut in Noida Power back up not working too,human
116,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,human
117,i hope unni will make the audition . fighting dahye unni !,human
118,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unhappy for about 10 minutes.,human
119,That`s very funny. Cute kids.,human
120,"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Army.",human
121,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero http://bit.ly/2Hpbg4",human
122,Born and raised in NYC and living in Texas for the past 10 years! I still miss NY,human
123,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",human
124,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,human
125,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",human
126,"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",human
127,im an avid fan of **** magazine and i love your magazines,human
128,MAYDAY?!,human
129,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE! LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",human
130,I love to! But I`m only available from 5pm. and where dear? Would love to help convert her vids.ï¿½,human
131,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,human
132,egh blah and boooooooooooo i dunno wanna go to work HANGOVERS SUCKKKKKK Im a drunk mess!,human
