sr no,Content,target
114,juss came backk from Berkeleyy ; omg its madd fun out there havent been out there in a minute . whassqoodd ?,human
115,Went to sleep and there is a power cut in Noida Power back up not working too,human
116,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,human
117,i hope unni will make the audition . fighting dahye unni !,human
118,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unhappy for about 10 minutes.,human
119,That`s very funny. Cute kids.,human
120,"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Army.",human
121,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero http://bit.ly/2Hpbg4",human
122,Born and raised in NYC and living in Texas for the past 10 years! I still miss NY,human
123,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",human
124,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,human
125,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",human
126,"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",human
127,im an avid fan of **** magazine and i love your magazines,human
128,MAYDAY?!,human
129,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE! LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",human
130,I love to! But I`m only available from 5pm. and where dear? Would love to help convert her vids.ï¿½,human
131,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,human
132,egh blah and boooooooooooo i dunno wanna go to work HANGOVERS SUCKKKKKK Im a drunk mess!,human
133,Tell me a joke,ai
134,What's the weather like?,ai
135,Set a reminder for me,ai
136,Play some music,ai
137,How do I reset my password?,ai
138,Order me a pizza,ai
139,Send a message to [contact],ai
140,What movies are playing nearby?,ai
141,What's the news today?,ai
142,Tell me a fun fact,ai
143,What time is it?,ai
144,What's the exchange rate for [currency]?,ai
145,Can you recommend a good restaurant?,ai
146,Check my calendar for tomorrow,ai
147,What's the meaning of [word]?,ai
148,What's the score of [sports game]?,ai
149,What's the best way to clean [object]?,ai
150,Book me a flight to [destination],ai
151,Show me the nearest gas station,ai
152,What's the capital of [country]?,ai
153,Translate [phrase] to [language],ai
154,What's the difference between [term] and [term]?,ai
155,Help me find a job,ai
156,How do I apply for a loan?,ai
157,What's the population of [city]?,ai
158,What's the recipe for [dish]?,ai
159,What's the distance between [location] and [location]?,ai
160,Can you tell me a bedtime story?,ai
161,What's the latest fashion trend?,ai
162,What's the best way to lose weight?,ai
163,Where can I find free Wi-Fi?,ai
164,What's the average lifespan of [animal]?,ai
165,How do I fix a leaky faucet?,ai
166,What's the current stock price for [company]?,ai
167,What's the best way to invest my money?,ai
168,What's the meaning of life?,ai
169,What's the difference between [product] and [product]?,ai
170,How do I make a good first impression?,ai
171,How do I change my phone plan?,ai
172,What's the best way to start a business?,ai
173,Where can I find free parking?,ai
174,What's the best way to get in shape?,ai
175,What's the history of [topic]?,ai
176,What's the best way to quit smoking?,ai
177,What's the best way to study for an exam?,ai
178,How do I file my taxes?,ai
179,What's the best way to improve my memory?,ai
180,What's the best way to reduce stress?,ai
181,What's the best way to meditate?,ai
182,How do I negotiate my salary?,ai
183,How do I cope with anxiety?,ai
184,What's the best way to budget my money?,ai
185,How do I write a good resume?,ai
186,What's the best way to learn a new language?,ai
187,What's the best way to save money on groceries?,ai
188,What's the best way to save money on gas?,ai
189,How do I improve my public speaking skills?,ai
190,How do I improve my writing skills?,ai
191,How do I improve my photography skills?,ai
192,What's the best way to travel on a budget?,ai
193,How do I build good credit?,ai
194,What's the best way to build a website?,ai
195,What's the best way to improve my social skills?,ai
196,What's the best way to negotiate a car price?,ai
197,How do I improve my time management skills?,ai
198,How do I make new friends?,ai
199,What's the best way to decorate my home?,ai
200,What's the best way to create a budget?,ai
201,How do I find a good roommate?,ai
202,How do I create a workout routine?,ai
203,What's the best way to find a good doctor,ai
204,What's the best way to cook [food]?,ai
205,What's the best way to improve my posture?,ai
206,How do I start a garden?,ai
207,What's the best way to handle a difficult coworker?,ai
208,What's the best way to handle a breakup?,ai
209,How do I create a social media strategy?,ai
210,What's the best way to manage my inbox?,ai
211,How do I plan a vacation?,ai
212,What's the best way to improve my LinkedIn profile?,ai
213,What's the best way to network at an event?,ai
214,How do I create a content marketing strategy?,ai
215,What's the best way to improve my website's SEO?,ai
216,How do I create a sales pitch?,ai
217,What's the best way to build customer loyalty?,ai
218,How do I handle a negative online review?,ai
219,What's the best way to create a product launch plan?,ai
220,What's the best way to create a customer service plan?,ai
221,How do I create a company culture?,ai
222,What's the best way to handle a crisis situation?,ai
223,How do I create a project plan?,ai
224,What's the best way to improve my team's productivity?,ai
225,How do I create a customer feedback survey?,ai
226,What's the best way to handle a difficult customer?,ai
227,How do I create a marketing budget?,ai
228,What's the best way to create a brand strategy?,ai
229,How do I create a user persona?,ai
230,What's the best way to create a mobile app?,ai
231,How do I create a website wireframe?,ai
232,What's the best way to improve my e-commerce website's checkout process?,ai
233,How do I create a digital marketing strategy?,ai
234,What's the best way to improve my email marketing campaigns?,ai
235,How do I create a social media advertising campaign?,ai
236,What's the best way to create a customer loyalty program?,ai
237,How do I create a sales funnel?,ai
238,What's the best way to optimize my website's landing pages?,ai
239,How do I create a content calendar?,ai
240,What's the best way to handle negative feedback?,ai
241,How do I create an effective call-to-action?,ai
242,What's the best way to optimize my website for mobile users?,ai
243,How do I improve my website's load speed?,ai
244,What's the best way to create a user-friendly website?,ai
245,How do I improve my website's accessibility?,ai
246,What's the best way to create a customer service chatbot?,ai
247,How do I create a customer referral program?,ai
248,What's the best way to handle a product recall?,ai
249,How do I create a social media crisis plan?,ai
250,What's the best way to handle a data breach?,ai
251,How do I improve my website's security?,ai
252,AI-generated content can be used as an output in various fields and industries.,ai
253,Here are a few examples:,ai
254,Education is an essential part of every person's life.,ai
255,It provides individuals with the knowledge and skills needed to succeed in their careers and personal lives.,ai
256,"However, not all students learn in the same way.",ai
257,"Traditional teaching methods often follow a one-size-fits-all approach, which can leave some students feeling left behind.",ai
258,That's where personalized learning comes in.,ai
259,Personalized learning is an educational approach that tailors the learning experience to meet the unique needs of each student.,ai
260,"It takes into account each student's learning style, interests, and abilities, and adapts the curriculum accordingly.",ai
261,"With personalized learning, students have more control over their education, which can lead to greater engagement and improved outcomes.",ai
262,One of the main benefits of personalized learning is that it can help bridge the achievement gap.,ai
263,Students who come from disadvantaged backgrounds or who have learning difficulties may struggle in a traditional classroom setting.,ai
264,Personalized learning can help these students catch up to their peers and even surpass them.,ai
265,"For example, a student who struggles with reading may benefit from a program that uses visual aids or audiobooks to help them learn.",ai
266,Another advantage of personalized learning is that it can help students build skills that are relevant to their future careers.,ai
267,"In traditional classrooms, students are often taught a standard curriculum that may not be directly applicable to their future jobs.",ai
268,Personalized learning can help students develop specific skills and knowledge that will be useful in their chosen field.,ai
269,"For example, a student interested in graphic design may benefit from a program that focuses on design software and digital art techniques.",ai
270,Personalized learning can also help students develop a love of learning.,ai
271,"Traditional teaching methods can sometimes be boring or unengaging for students, leading to disinterest and even dropping out.",ai
272,"With personalized learning, students have more control over their education, which can lead to greater motivation and curiosity.",ai
273,"For example, a student who is interested in science may benefit from a program that allows them to conduct experiments and explore topics in more depth.",ai
274,"Of course, personalized learning is not without its challenges.",ai
275,One of the main issues is the lack of resources and support for teachers who want to implement this approach.,ai
276,"It can be difficult for educators to design and implement personalized learning programs, particularly in schools with limited funding or large class sizes.",ai
277,"Additionally, there is a lack of research on the long-term effects of personalized learning, which can make it difficult to assess its effectiveness.",ai
278,"In conclusion, personalized learning is an important approach to education that can help students achieve their full potential.",ai
279,"By tailoring the learning experience to meet the unique needs of each student, personalized learning can bridge the achievement gap, develop skills that are relevant to future careers, and foster a love of learning.",ai
280,"While there are challenges to implementing this approach, it is worth the effort to ensure that all students have access to high-quality education.",ai
281,Consistency is key to forming good habits.,ai
282,Starting your day with a healthy breakfast is a good habit.,ai
283,Making your bed every morning is a simple but effective habit.,ai
284,Drinking plenty of water throughout the day is a good habit to maintain.,ai
285,Regular exercise is a great habit to help maintain good health.,ai
286,Practicing good hygiene habits is important for overall wellness.,ai
287,Reading every day is a good habit for expanding your knowledge and vocabulary.,ai
288,Taking breaks throughout the day is a good habit for maintaining productivity.,ai
289,Using positive self-talk is a habit that can help improve your mood and confidence.,ai
290,Spending time in nature is a good habit for reducing stress and improving mental health.,ai
291,Setting goals and tracking progress is a good habit for personal growth.,ai
292,Taking the stairs instead of the elevator is a simple habit that promotes physical activity.,ai
293,Getting enough sleep is a good habit for overall health and wellbeing.,ai
294,Learning to meditate is a good habit for reducing stress and improving mental clarity.,ai
295,Being punctual is a good habit that demonstrates respect and responsibility.,ai
296,Maintaining a clean and organized living space is a good habit for reducing stress and anxiety.,ai
297,Keeping a gratitude journal is a good habit for cultivating a positive mindset.,ai
298,"Saying ""thank you"" and showing appreciation is a good habit for building strong relationships.",ai
299,Avoiding multitasking is a good habit for maintaining focus and productivity.,ai
300,Prioritizing self-care is a good habit for promoting mental and emotional wellbeing.,ai
301,Engaging in acts of kindness is a good habit for promoting positive relationships and community.,ai
302,Eating a balanced diet is a good habit for maintaining good health.,ai
303,Maintaining good posture is a good habit for reducing physical strain and promoting confidence.,ai
304,Practicing good listening skills is a good habit for building effective communication.,ai
305,Taking breaks from technology is a good habit for promoting mental wellness and reducing eye strain.,ai
306,Being honest and transparent is a good habit for building trust and respect in relationships.,ai
307,Engaging in regular self-reflection is a good habit for personal growth and development.,ai
308,Planning your day the night before is a good habit for maximizing productivity.,ai
309,Incorporating mindfulness practices into your daily routine is a good habit for reducing stress and anxiety.,ai
310,Limiting caffeine and alcohol consumption is a good habit for maintaining overall health.,ai
311,Finding time for creative outlets is a good habit for promoting mental wellness.,ai
312,Practicing active listening is a good habit for building strong relationships.,ai
313,Prioritizing self-education and learning is a good habit for personal growth and development.,ai
314,Getting regular check-ups and health screenings is a good habit for maintaining good health.,ai
315,Taking time to stretch and move your body throughout the day is a good habit for physical health.,ai
316,Avoiding procrastination is a good habit for maintaining productivity and reducing stress.,ai
317,Creating and maintaining a budget is a good habit for financial health and stability.,ai
318,Practicing forgiveness and letting go of grudges is a good habit for mental and emotional wellness.,ai
319,"Engaging in regular self-care practices such as meditation, journaling, or exercise is a good habit for promoting overall wellbeing.",ai
320,Practicing good time management is a good habit for reducing stress and increasing productivity.,ai
321,The sun cast a golden glow over the tranquil ocean.,ai
322,"The night was dark and stormy, the wind howling like a wolf.",ai
323,The stars twinkled like diamonds in the inky black sky.,ai
324,The city streets were alive with the sound of traffic and chatter.,ai
325,The morning sun painted the sky in shades of pink and orange.,ai
326,"The rain fell in a steady, rhythmic beat, tapping against the window.",ai
327,The scent of freshly baked bread wafted through the air.,ai
328,"The autumn leaves danced in the gentle breeze, like flames in a fire.",ai
329,"The moon was a pale sliver in the sky, casting an ethereal glow.",ai
330,"The mountains rose majestically in the distance, their peaks capped with snow.",ai
331,"The garden was a riot of colors, a patchwork quilt of flowers and greenery.",ai
332,"The waves crashed against the shore, a symphony of sound and fury.",ai
333,"The thunder roared in the distance, heralding an approaching storm.",ai
334,"The stars shone like beacons in the night sky, guiding travelers on their way.",ai
335,The summer air was thick with the sweet scent of honeysuckle.,ai
336,The forest was alive with the chirping of birds and the rustling of leaves.,ai
337,"The sky was a canvas of blues and purples, streaked with shades of pink and gold.",ai
338,"The sea was a vast, endless expanse of blue, stretching as far as the eye could see.",ai
339,"The snow fell softly, coating the ground in a pristine blanket of white.",ai
340,"The city skyline glittered like a jewel, its towers reaching towards the sky.",ai
341,"The light was a warm, inviting glow, bathing everything in a soft radiance.",ai
342,"The heat was oppressive, the air thick and heavy with humidity.",ai
343,"The wind was a wild, untamed force, howling and gusting with abandon.",ai
344,"The rain was a deluge, pelting the earth with an unrelenting force.",ai
345,"The sun was a blazing ball of fire in the sky, casting harsh light and deep shadows.",ai
346,"The sky was a canvas of grays and blues, with no hint of the sun.",ai
347,"The flowers were a riot of colors, each one more vibrant than the last.",ai
348,"The tree branches reached up to the sky, like the fingers of a giant.",ai
349,"The leaves rustled in the wind, like the soft whispers of a secret.",ai
350,"The snowflakes fell like a gentle, silent rain, coating everything in a quiet hush.",ai
351,"The moon was a giant, glowing orb in the sky, casting a soft light on everything below.",ai
352,"The clouds were like a fluffy blanket, stretching across the sky.",ai
353,"The rain was like a thousand tiny needles, pricking the skin.",ai
354,"The stars were like a thousand diamonds, sparkling in the night sky.",ai
355,"The sun was like a fiery inferno, blazing in the sky.",ai
356,"The grass was like a soft, green carpet beneath our feet.",ai
357,"The wind was like a playful child, dancing and skipping through the trees.",ai
358,"The flowers were like a burst of sunshine, spreading joy and beauty everywhere.",ai
359,"The snow was like a magical wonderland, transforming the world into a fairy tale.",ai
360,"The waves were like a symphony, crashing and retreating in perfect harmony.",ai
361,"The city was like a living, breathing organism, constantly in motion.",ai
362,"The sun was like a beacon of hope, casting light on the darkest of days.",ai
363,The sky was like a canvas,ai
364,My heart is shattered into a million pieces.,ai
365,"I feel so empty inside, like I'm a hollow shell.",ai
366,The world feels so dark and cold.,ai
367,Nothing ever goes right for me.,ai
368,I'm so tired of pretending everything is okay.,ai
369,I feel like I'm drowning in my own thoughts.,ai
370,It hurts so much to even breathe right now.,ai
371,Why do bad things always happen to good people?,ai
372,I feel like I'm all alone in the world.,ai
373,"My dreams are shattered, and I don't know how to pick up the pieces.",ai
374,The weight of the world feels like it's crushing me.,ai
375,Life is so unfair sometimes.,ai
376,"The sadness feels overwhelming, like a never-ending wave.",ai
377,I feel so lost and hopeless.,ai
378,I'm so tired of fighting and feeling like I'm getting nowhere.,ai
379,The future feels bleak and uncertain.,ai
380,I'm so tired of being hurt and let down.,ai
381,"The pain is so intense, it feels physical.",ai
382,I feel like I'm suffocating in my own misery.,ai
383,It feels like the light at the end of the tunnel is never going to appear,ai
384,I can't do this.,ai
385,I'm not good enough.,ai
386,Nothing ever goes right for me.,ai
387,Why does everything always have to be so hard?,ai
388,I'm so frustrated right now.,ai
389,I feel like I'm stuck in a rut.,ai
390,I just want to give up.,ai
391,I don't see the point in trying anymore.,ai
392,This is a complete waste of my time.,ai
393,I'm never going to succeed.,ai
394,I'm so disappointed in myself.,ai
395,I'm tired of being let down.,ai
396,I can't catch a break.,ai
397,I'm so angry right now.,ai
398,I'm completely overwhelmed.,ai
399,Everything is falling apart.,ai
400,I'm sick and tired of dealing with this.,ai
401,This is never going to work.,ai
402,I'm so done with this.,ai
403,I feel like I'm in a downward spiral.,ai
404,Nothing ever seems to go my way.,ai
405,I can't believe this is happening.,ai
406,I'm so over this.,ai
407,I'm so discouraged right now.,ai
408,I feel like I'm at the end of my rope.,ai
409,This is a disaster.,ai
410,I'm so stressed out.,ai
411,I'm completely fed up.,ai
412,I can't take this anymore.,ai
413,I'm so defeated.,ai
414,I feel like I'm in a constant state of chaos.,ai
415,I just want to give in and give up.,ai
416,This is the worst day ever.,ai
417,I'm so frustrated with myself.,ai
418,Everything is going wrong.,ai
419,I'm so discouraged.,ai
420,I'm so disappointed in the outcome.,ai
421,I'm so angry at myself.,ai
422,I can't believe how badly this turned out.,ai
423,I'm so sick of feeling like a failure.,ai
424,This is a total disaster.,ai
425,I feel like I'm in a nightmare that won't end.,ai
426,I'm so sick of dealing with this mess.,ai
427,I feel like I'm in a never-ending cycle of disappointment.,ai
428,I'm so tired of being let down by everyone and everything.,ai
429,I can't keep doing this to myself.,ai
430,I'm so upset with the way things turned out.,ai
431,I'm so disappointed in the situation.,ai
432,I feel like I'm in a hopeless situation.,ai
433,I'm so frustrated with the lack of progress.,ai
434,Believe you can and you're halfway there.,ai
435,"Success is not final, failure is not fatal: It is the courage to continue that counts.",ai
436,Be the change you wish to see in the world.,ai
437,You miss 100% of the shots you don't take.,ai
438,"The greatest glory in living lies not in never falling, but in rising every time we fall.",ai
439,"I have not failed. I've just found 10,000 ways that won't work.",ai
440,You are never too old to set another goal or to dream a new dream.,ai
441,It does not matter how slowly you go as long as you do not stop.,ai
442,A journey of a thousand miles begins with a single step.,ai
443,Happiness is not something ready made. It comes from your own actions.,ai
444,The best revenge is massive success.,ai
445,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",ai
446,The only way to do great work is to love what you do.,ai
447,"You don't have to be great to start, but you have to start to be great.",ai
448,Don't watch the clock; do what it does. Keep going.,ai
449,The future belongs to those who believe in the beauty of their dreams.,ai
450,The only person you are destined to become is the person you decide to be.,ai
451,It's not the years in your life that count. It's the life in your years.,ai
452,"In the end, we will remember not the words of our enemies, but the silence of our friends.",ai
453,I have a dream that one day this nation will rise up and live out the true meaning of its creed.,ai
454,The greatest wealth is to live content with little.,ai
455,Happiness is a warm puppy.,ai
456,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",ai
457,The only true wisdom is in knowing you know nothing.,ai
458,The purpose of our lives is to be happy.,ai
459,The best way to predict your future is to create it.,ai
460,A room without books is like a body without a soul.,ai
461,The only thing necessary for the triumph of evil is for good men to do nothing.,ai
462,"You can't go back and change the beginning, but you can start where you are and change the ending.",ai
463,The way to get started is to quit talking and begin doing.,ai
464,may the fourth be with you! happy star wars day,human
465,"I`ve been unlocked for decades now...just not lucky, never have been. Gottta make my own luck and that involves $$$$$",human
466,Taking care of yucky stuff.,human
467,homework on a friday night...lame,human
468,Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined,human
469,industrial tommorow! oh yeah & I get to go see a bunch of old people go away forever & I will probably cry all over the place.,human
470,"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",human
471,at the redi med. getting checked for strep throat.,human
472,I`m either always on the train or at work,human
473,i hope it doesnt rain tonight tomorrow my fam. comes to visit swimming pool and carne asada if it rains the pool is going to be dirty,human
474,"Laughing for no reason...maybe its because its 2:27 and I`m tired, haha. Maybe i should go to bed Night!",human
475,That`s me on a good day,human
476,_Greta That is so not good. Your box is worth way more than that!,human
477,I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write <3,human
478,Think I`ll go enjoy the sun`s rays again...I LOVE being off work,human
479,"hahaha, I was busy, now I see what I replied to you! Yes that is true",human
480,thank you cici right back at ya!,human
481,very bad.,human
482,he`s not logging in yet. and i doubt if he will check his his replies here in twitter. but we must keep on trying!,human
483,Very content with my life at the moment,human
484,"thanks, i feel a lot better now.. but it hurt like hell!!! good luck with the lousy student writing.",human
485,Thank you x,human
486,I think we have it pretty much figured out. added a box in the Helsinki group where you can see the tweets,human
487,I must have just missed & I guess I scared & _TX off... Sorry,human
488,"esther rhymes with: investor, tester, jester, pester, polyester, semester, sylvester, requester... just to name a few",human
489,http://twitpic.com/4vdc3 - Lexus has the Twitpic! Happy mother`s day to you Lexus. I hopw it`s a nice one for you.,human
490,Last night in Australia,human
491,i was an extra. got ready for work for nothing. studying all night,human
492,_uts bass love,human
493,omg J.O.N.A.S. is my new fave show <3 one guess as to why hahahha,human
494,it`s Mothers Day today,human
495,Yeah it is. Thanks,human
496,_i_am_jes YAY! congrats! i`m afraid to check my grades!,human
497,I feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help,human
498,Same Difference Today going to go and have a shower then get ready!,human
499,??????? #bash ?? ??????? ????????? ????,human
500,"Its prob cuz I don`t really like sleeping in late, even if I tried.",human
501,Congrats on the knottie man!,human
502,"Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",human
503,"i guess your cooler than me, tony hawk never replied to me",human
504,Wishing I could kidnap from work,human
505,there coming this year ^-^ wiL said it himself but yes now would be good.,human
506,I ran out of Eclipse mints,human
507,tweeten maar,human
508,"i`m watching missing pieces, just coz the theme song is lost without you",human
509,"need some more enthu movie guys for that. Right now it`s just you, and @_Anshul",human
510,**** i hope theyr all wrong we need him,human
511,No... have to go on cruches next 2 weeks,human
512,My throat is killing me,human
513,im back on twitter.,human
514,looked up weather for greece this weekend....80 and sunny OMGZ,human
515,awww I`ll let you off - but you`d better be there for my next 30th! XD,human
516,YoYo door nazis refused me entry on account of no ID gutted! Heard it was a good night tho.. Next time I`ll come prepared!,human
517,"ah! well, I`ll see if I can find u later in the week. I am tempted to look at Leica`s this week. LOL. We could go check it out.",human
518,babe u aint been reading my tweets- my phone has fallen apart. My new on comes nxt wk. The track ball keeps fallin out my phone,human
519,hhahaa! its well strange just woke up to an empty house ahah lolllllyyyyyyyy<3 love that dog,human
520,"_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS",human
521,_s make me tea pleaseeeeeeeeeee,human
